id;type_document;type_ressource;date_publication;titre_document;url_fichier
34367;Bilans et rapports;Document;2023-01-31;Situation mensuelle de l'état - Décembre (provisoire) 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_12_provisoire.pdf
34484;Bilans et rapports;Document;2019-12-23;Situation mensuelle de l'état - Novembre 2019;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2019_11.pdf
34784;Bilans et rapports;Document;2013-04-29;Situation mensuelle de l'état - Décembre 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_12_definitive.pdf
34760;Bilans et rapports;Document;2012-06-21;Situation mensuelle de l'état - Mai 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_05.pdf
34751;Bilans et rapports;Document;2012-06-04;Situation mensuelle de l'état - Février 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_02.pdf
34550;Bilans et rapports;Document;2018-03-22;Situation mensuelle de l'état - Février 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_02.pdf
34667;Bilans et rapports;Document;2016-04-28;Situation mensuelle de l'état - Décembre 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_12_definitive.pdf
34721;Bilans et rapports;Document;2013-06-20;Situation mensuelle de l'état - Mai 2013;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2013_05.pdf
34769;Bilans et rapports;Document;2012-09-20;Situation mensuelle de l'état - Août 2012;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2012_08.pdf
34817;Bilans et rapports;Document;2011-12-19;Situation mensuelle de l'état - Novembre 2011;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2011_11.pdf
34286;Bilans et rapports;Document;2025-02-21;Situation mensuelle de l'état - Janvier 2025;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2025_01.pdf
34382;Bilans et rapports;Document;2022-08-22;Situation mensuelle de l'état - Juillet 2022;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2022_07.pdf
34526;Bilans et rapports;Document;2018-11-21;Situation mensuelle de l'état - Octobre 2018;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2018_10.pdf
34652;Bilans et rapports;Document;2015-09-18;Situation mensuelle de l'état - Août 2015;https://www.economie.gouv.fr/files/files/directions_services/dgfip/media-document/SME_2015_08.pdf
